hash,variables,clauses,gbd_variables,gbd_clauses,family,author,result,filename,tracks,local_path
47e3b78c2157b685e23b53915a1b33b5,26,70,26,70,miter,biere,unsat,47e3b78c2157b685e23b53915a1b33b5,"anni_2022,industrial_2002,mus_2011",instances/47e3b78c2157b685e23b53915a1b33b5.cnf
c7d10eee6ce5f663697f3146ec866c69,26,156,26,156,tseitin-formulas,bevan,unsat,c7d10eee6ce5f663697f3146ec866c69,"anni_2022,handmade_2003",instances/c7d10eee6ce5f663697f3146ec866c69.cnf
f349621e75ede4e9e9422b3d0f677268,27,53,27,53,parity-games,friedmann,unsat,f349621e75ede4e9e9422b3d0f677268,"anni_2022,crafted_2009,crafted_2012,portfolio_2012",instances/f349621e75ede4e9e9422b3d0f677268.cnf
e4eab3cf8678b03835123608fdd268e4,28,96,28,96,tseitin-formulas,bevan,unsat,e4eab3cf8678b03835123608fdd268e4,"anni_2022,handmade_2003",instances/e4eab3cf8678b03835123608fdd268e4.cnf
9a9827b82f6ff4fd887f0ada83dd2eab,30,80,30,80,tseitin-formulas,bevan,unsat,9a9827b82f6ff4fd887f0ada83dd2eab,"anni_2022,handmade_2003",instances/9a9827b82f6ff4fd887f0ada83dd2eab.cnf
cfd1346d0bd598be135475ecd856eb9e,30,192,30,192,tseitin-formulas,bevan,unsat,cfd1346d0bd598be135475ecd856eb9e,"anni_2022,handmade_2003",instances/cfd1346d0bd598be135475ecd856eb9e.cnf
6176faf90d04b943e72346f634a1577e,30,419,30,419,random,pehoushek,unsat,6176faf90d04b943e72346f634a1577e,random_2002,instances/6176faf90d04b943e72346f634a1577e.cnf
43e1cc469be3087b024dc0b5f4b01d5c,30,420,30,420,random,pehoushek,unsat,43e1cc469be3087b024dc0b5f4b01d5c,"anni_2022,crafted_2011,random_2002",instances/43e1cc469be3087b024dc0b5f4b01d5c.cnf
c7f30869e2222200eb837086a2198e39,31,240,31,240,tseitin-formulas,bevan,unsat,c7f30869e2222200eb837086a2198e39,"anni_2022,handmade_2003",instances/c7f30869e2222200eb837086a2198e39.cnf
04327b18171b43ff06586707499b97fc,32,128,32,128,tseitin-formulas,bevan,unsat,04327b18171b43ff06586707499b97fc,"anni_2022,handmade_2003",instances/04327b18171b43ff06586707499b97fc.cnf
b675ff0d198a1ddf59de56ac6e98481f,33,128,33,128,tseitin-formulas,bevan,unsat,b675ff0d198a1ddf59de56ac6e98481f,"anni_2022,handmade_2003",instances/b675ff0d198a1ddf59de56ac6e98481f.cnf
c3cc6d7dc2f972fa2d8b4830f230aacf,34,150,34,150,genurq,ostrowski,sat,c3cc6d7dc2f972fa2d8b4830f230aacf,"anni_2022,handmade_2003",instances/c3cc6d7dc2f972fa2d8b4830f230aacf.cnf
04071576275e4113b60c21601b364345,35,120,35,120,tseitin-formulas,bevan,unsat,04071576275e4113b60c21601b364345,"anni_2022,handmade_2003",instances/04071576275e4113b60c21601b364345.cnf
4df590f124b66f482b7fea490be31ef5,35,216,35,216,tseitin-formulas,bevan,unsat,4df590f124b66f482b7fea490be31ef5,"anni_2022,handmade_2003",instances/4df590f124b66f482b7fea490be31ef5.cnf
6b36abc94899ab1d25a9c48d7697916c,36,84,36,84,coloring,vangelder,unsat,6b36abc94899ab1d25a9c48d7697916c,"anni_2022,handmade_2002",instances/6b36abc94899ab1d25a9c48d7697916c.cnf
9a9e21318977d18e1d51a744adc7d854,36,96,36,96,tseitin-formulas,chu-min-li,unsat,9a9e21318977d18e1d51a744adc7d854,"anni_2022,handmade_2002",instances/9a9e21318977d18e1d51a744adc7d854.cnf
af35fbf18f3fd6a60f0ef4c38fb50d3e,36,96,36,96,tseitin-formulas,chu-min-li,unsat,af35fbf18f3fd6a60f0ef4c38fb50d3e,handmade_2003,instances/af35fbf18f3fd6a60f0ef4c38fb50d3e.cnf
11c893b7c37aeb53cdaf5f677dda0b7d,36,144,36,144,tseitin-formulas,bevan,unsat,11c893b7c37aeb53cdaf5f677dda0b7d,"anni_2022,handmade_2003",instances/11c893b7c37aeb53cdaf5f677dda0b7d.cnf
7c0296e111436f76c122df0d9cc07696,36,230,36,230,tseitin-formulas,simon,unsat,7c0296e111436f76c122df0d9cc07696,"anni_2022,handmade_2002",instances/7c0296e111436f76c122df0d9cc07696.cnf
3df4057f6ca11c57e2d3e8f24234cd5b,37,160,37,160,tseitin-formulas,bevan,unsat,3df4057f6ca11c57e2d3e8f24234cd5b,"anni_2022,handmade_2003",instances/3df4057f6ca11c57e2d3e8f24234cd5b.cnf
988603bd72158a0c8491d29b7c62c04e,39,80,39,80,parity-games,friedmann,unsat,988603bd72158a0c8491d29b7c62c04e,"anni_2022,crafted_2009,crafted_2012,portfolio_2012",instances/988603bd72158a0c8491d29b7c62c04e.cnf
d89c0f6742978220b2ef27f104913931,40,105,40,105,battleship,skvortsov,unsat,d89c0f6742978220b2ef27f104913931,"anni_2022,crafted_2011,crafted_2012",instances/d89c0f6742978220b2ef27f104913931.cnf
00f969737ba4338bd233cd3ed249bd55,40,176,40,176,coloring,pehoushek,unsat,00f969737ba4338bd233cd3ed249bd55,"anni_2022,handmade_2002",instances/00f969737ba4338bd233cd3ed249bd55.cnf
04e47e6635908600ef3938b32644825a,40,176,40,176,coloring,pehoushek,unsat,04e47e6635908600ef3938b32644825a,handmade_2002,instances/04e47e6635908600ef3938b32644825a.cnf
067dc6945c4aec1c2bc1fdc2e5819124,40,176,40,176,coloring,pehoushek,unsat,067dc6945c4aec1c2bc1fdc2e5819124,handmade_2002,instances/067dc6945c4aec1c2bc1fdc2e5819124.cnf
21ca756baf6af7f15098455977b88d6d,40,176,40,176,coloring,pehoushek,unsat,21ca756baf6af7f15098455977b88d6d,handmade_2002,instances/21ca756baf6af7f15098455977b88d6d.cnf
38de0de52a209b6d0beb50986fd8b506,40,176,40,176,coloring,pehoushek,unsat,38de0de52a209b6d0beb50986fd8b506,handmade_2002,instances/38de0de52a209b6d0beb50986fd8b506.cnf
4f968e0bb4a9609933e006ebc53a27ef,40,176,40,176,coloring,pehoushek,unsat,4f968e0bb4a9609933e006ebc53a27ef,handmade_2002,instances/4f968e0bb4a9609933e006ebc53a27ef.cnf
5e7c7f5b8ff247cb8b8de0645e327b4d,40,176,40,176,coloring,pehoushek,unsat,5e7c7f5b8ff247cb8b8de0645e327b4d,handmade_2002,instances/5e7c7f5b8ff247cb8b8de0645e327b4d.cnf
87262846343313aa8de488c4bd7b6683,40,176,40,176,coloring,pehoushek,unsat,87262846343313aa8de488c4bd7b6683,handmade_2002,instances/87262846343313aa8de488c4bd7b6683.cnf
e7ee9430abd1307b7fb47b378cfa834a,40,176,40,176,coloring,pehoushek,unsat,e7ee9430abd1307b7fb47b378cfa834a,handmade_2002,instances/e7ee9430abd1307b7fb47b378cfa834a.cnf
f92890120255523d223c4d234688d0f2,40,176,40,176,coloring,pehoushek,unsat,f92890120255523d223c4d234688d0f2,handmade_2002,instances/f92890120255523d223c4d234688d0f2.cnf
becda1f50323450f71052c12e2670a15,40,608,40,608,random,pehoushek,unsat,becda1f50323450f71052c12e2670a15,random_2002,instances/becda1f50323450f71052c12e2670a15.cnf
ca0f34aa2c6e5be0567116afbb8b4045,40,624,40,624,random,pehoushek,unsat,ca0f34aa2c6e5be0567116afbb8b4045,random_2002,instances/ca0f34aa2c6e5be0567116afbb8b4045.cnf
eafc85eddef1de023ea636f25b1ef914,41,224,41,224,tseitin-formulas,bevan,unsat,eafc85eddef1de023ea636f25b1ef914,"anni_2022,crafted_2011,crafted_2012,handmade_2003,portfolio_2012",instances/eafc85eddef1de023ea636f25b1ef914.cnf
b1eb31469f5bdb6e4b70f762240ad6a0,41,272,41,272,tseitin-formulas,bevan,unsat,b1eb31469f5bdb6e4b70f762240ad6a0,"anni_2022,crafted_2011,crafted_2012,handmade_2003",instances/b1eb31469f5bdb6e4b70f762240ad6a0.cnf
8e4e5a8d8b1a86288d58b0779c70c871,41,304,41,304,tseitin-formulas,bevan,unsat,8e4e5a8d8b1a86288d58b0779c70c871,"anni_2022,handmade_2003",instances/8e4e5a8d8b1a86288d58b0779c70c871.cnf
874bdedb23926bd0df8ef574e981fd2f,42,144,42,144,tseitin-formulas,bevan,unsat,874bdedb23926bd0df8ef574e981fd2f,"anni_2022,handmade_2003",instances/874bdedb23926bd0df8ef574e981fd2f.cnf
edcf12c975995809243baad78e8d2978,42,336,42,336,tseitin-formulas,bevan,unsat,edcf12c975995809243baad78e8d2978,"anni_2022,handmade_2003",instances/edcf12c975995809243baad78e8d2978.cnf
4b36348f21d1d290bfee9c9fd6214552,42,342,42,342,tseitin-formulas,simon,unsat,4b36348f21d1d290bfee9c9fd6214552,"anni_2022,handmade_2002",instances/4b36348f21d1d290bfee9c9fd6214552.cnf
34c64c89371c38e2ad39442e7be6f9f2,43,316,43,316,tseitin-formulas,simon,unsat,34c64c89371c38e2ad39442e7be6f9f2,"anni_2022,handmade_2002",instances/34c64c89371c38e2ad39442e7be6f9f2.cnf
16e5939e61e823ea250858edd0fb8d44,43,340,43,340,tseitin-formulas,simon,unsat,16e5939e61e823ea250858edd0fb8d44,"anni_2022,handmade_2002",instances/16e5939e61e823ea250858edd0fb8d44.cnf
94833a9e9b5feca8f4cd409141d3e2d0,44,276,44,276,tseitin-formulas,bevan,unsat,94833a9e9b5feca8f4cd409141d3e2d0,"anni_2022,handmade_2003",instances/94833a9e9b5feca8f4cd409141d3e2d0.cnf
b58f64784154e9231e1006915b310f30,44,398,44,398,tseitin-formulas,simon,unsat,b58f64784154e9231e1006915b310f30,"anni_2022,handmade_2002",instances/b58f64784154e9231e1006915b310f30.cnf
9a8546564631081cdfd3ead12990c266,44,416,44,416,tseitin-formulas,simon,unsat,9a8546564631081cdfd3ead12990c266,"anni_2022,handmade_2002",instances/9a8546564631081cdfd3ead12990c266.cnf
3ce73c94ea228d9f82d9ce0a35e44678,45,288,45,288,tseitin-formulas,bevan,unsat,3ce73c94ea228d9f82d9ce0a35e44678,"anni_2022,handmade_2003",instances/3ce73c94ea228d9f82d9ce0a35e44678.cnf
37aad570c1cd0eeff448e04d3d2ba9b4,45,352,45,352,tseitin-formulas,bevan,unsat,37aad570c1cd0eeff448e04d3d2ba9b4,"anni_2022,handmade_2003",instances/37aad570c1cd0eeff448e04d3d2ba9b4.cnf
0297c2a35f116ffd5382aea5b421e6df,45,376,45,376,tseitin-formulas,chu-min-li,unsat,0297c2a35f116ffd5382aea5b421e6df,"anni_2022,handmade_2003,handmade_2004,main_2023",instances/0297c2a35f116ffd5382aea5b421e6df.cnf
464bf1752e0e4e54f36383e8f1895fe4,45,376,45,376,tseitin-formulas,simon,unsat,464bf1752e0e4e54f36383e8f1895fe4,handmade_2002,instances/464bf1752e0e4e54f36383e8f1895fe4.cnf
515169f54b051534b750159ffff19cbc,45,446,45,446,tseitin-formulas,simon,unsat,515169f54b051534b750159ffff19cbc,"anni_2022,handmade_2002",instances/515169f54b051534b750159ffff19cbc.cnf
076d4d6f83306ee69c35e3c99e30d8f8,46,122,46,122,xor-chain,zhang-lintao,unsat,076d4d6f83306ee69c35e3c99e30d8f8,"anni_2022,handmade_2002",instances/076d4d6f83306ee69c35e3c99e30d8f8.cnf
f10abbb7c1ae0e1a9ba7d575d9630d9a,46,122,46,122,xor-chain,zhang-lintao,unsat,f10abbb7c1ae0e1a9ba7d575d9630d9a,handmade_2002,instances/f10abbb7c1ae0e1a9ba7d575d9630d9a.cnf
940a69d9f16d6c8d7a535662386e9b5d,46,470,46,470,tseitin-formulas,simon,unsat,940a69d9f16d6c8d7a535662386e9b5d,"anni_2022,crafted_2012",instances/940a69d9f16d6c8d7a535662386e9b5d.cnf
740e92f74d485a285242d8c4a437b084,47,200,47,200,tseitin-formulas,bevan,unsat,740e92f74d485a285242d8c4a437b084,"anni_2022,handmade_2003",instances/740e92f74d485a285242d8c4a437b084.cnf
e49c408c713af6dde16f707e38419a3c,48,81,48,81,theorem-proving,vangelder,unsat,e49c408c713af6dde16f707e38419a3c,"anni_2022,handmade_2002",instances/e49c408c713af6dde16f707e38419a3c.cnf
0ef68fc7aa6f2bc7fb74ada9d865da06,48,153,48,153,planning,maris,sat,0ef68fc7aa6f2bc7fb74ada9d865da06,"anni_2022,industrial_2005",instances/0ef68fc7aa6f2bc7fb74ada9d865da06.cnf
7e19f295d35c30ac4d5386ffec1fcf28,48,153,48,153,planning,maris,sat,7e19f295d35c30ac4d5386ffec1fcf28,industrial_2005,instances/7e19f295d35c30ac4d5386ffec1fcf28.cnf
7e9a4f42129a42748ce607fb97d086bf,49,168,49,168,tseitin-formulas,bevan,unsat,7e9a4f42129a42748ce607fb97d086bf,"anni_2022,handmade_2003",instances/7e9a4f42129a42748ce607fb97d086bf.cnf
4adc1e755caaabac57763acbabbc628d,49,480,49,480,tseitin-formulas,bevan,unsat,4adc1e755caaabac57763acbabbc628d,"anni_2022,handmade_2003",instances/4adc1e755caaabac57763acbabbc628d.cnf
b13e24a50fa51d70052af82f22abd940,49,572,49,572,tseitin-formulas,simon,unsat,b13e24a50fa51d70052af82f22abd940,"anni_2022,handmade_2002",instances/b13e24a50fa51d70052af82f22abd940.cnf
d5234444b8633216f6a3b40c88e2e6bc,49,572,49,572,tseitin-formulas,chu-min-li,unknown,d5234444b8633216f6a3b40c88e2e6bc,"handmade_2003,handmade_2004",instances/d5234444b8633216f6a3b40c88e2e6bc.cnf
18f54820956791d3028868b56a09c6cd,50,159,50,159,bounded-model-checking,marques-silva,unsat,18f54820956791d3028868b56a09c6cd,"anni_2022,mus_2011",instances/18f54820956791d3028868b56a09c6cd.cnf
c928c185c3a3f5e729667363b7c471d5,50,760,50,760,random,pehoushek,sat,c928c185c3a3f5e729667363b7c471d5,random_2002,instances/c928c185c3a3f5e729667363b7c471d5.cnf
f47a366ce89ef01e4f1ff6031b49a9c8,50,780,50,780,random,pehoushek,sat,f47a366ce89ef01e4f1ff6031b49a9c8,random_2002,instances/f47a366ce89ef01e4f1ff6031b49a9c8.cnf
cf4c9fdf0c55163b64cd7ddd69927cd1,50,799,50,799,random,pehoushek,sat,cf4c9fdf0c55163b64cd7ddd69927cd1,random_2002,instances/cf4c9fdf0c55163b64cd7ddd69927cd1.cnf
6f0fb8bfab60da956aa2d50dd07d3914,50,800,50,800,random,pehoushek,unsat,6f0fb8bfab60da956aa2d50dd07d3914,random_2002,instances/6f0fb8bfab60da956aa2d50dd07d3914.cnf
89c293c02fe6dcb7a3ef561f5024cee1,50,800,50,800,random,pehoushek,sat,89c293c02fe6dcb7a3ef561f5024cee1,random_2002,instances/89c293c02fe6dcb7a3ef561f5024cee1.cnf
8f59d9f509e94d3e8deb5b6a4ac1ae6c,50,800,50,800,random,pehoushek,sat,8f59d9f509e94d3e8deb5b6a4ac1ae6c,random_2002,instances/8f59d9f509e94d3e8deb5b6a4ac1ae6c.cnf
94e9ff8a105b62ad500ca840902b2707,50,800,50,800,random,pehoushek,sat,94e9ff8a105b62ad500ca840902b2707,random_2002,instances/94e9ff8a105b62ad500ca840902b2707.cnf
cfa182011a45198a1dc163b6d0a94c66,50,800,50,800,random,pehoushek,unsat,cfa182011a45198a1dc163b6d0a94c66,random_2002,instances/cfa182011a45198a1dc163b6d0a94c66.cnf
0c1576fd11fe64ac886d836c26b69145,50,819,50,819,random,pehoushek,unsat,0c1576fd11fe64ac886d836c26b69145,random_2002,instances/0c1576fd11fe64ac886d836c26b69145.cnf
023e522c9160d4d1584c5ce1a6ce48d1,50,820,50,820,random,pehoushek,unsat,023e522c9160d4d1584c5ce1a6ce48d1,random_2002,instances/023e522c9160d4d1584c5ce1a6ce48d1.cnf
04aa3db794a4a1129b037aac393e0bb5,50,820,50,820,random,pehoushek,unsat,04aa3db794a4a1129b037aac393e0bb5,random_2002,instances/04aa3db794a4a1129b037aac393e0bb5.cnf
b75cc11ca7a62f2133094158b3f5ea49,50,820,50,820,random,pehoushek,unsat,b75cc11ca7a62f2133094158b3f5ea49,random_2002,instances/b75cc11ca7a62f2133094158b3f5ea49.cnf
c46140759a4fe80428e3483a1161a8d7,50,820,50,820,random,pehoushek,unsat,c46140759a4fe80428e3483a1161a8d7,random_2002,instances/c46140759a4fe80428e3483a1161a8d7.cnf
fbabbc02b7d74ebff45b8b9d25f51aff,50,820,50,820,random,pehoushek,unsat,fbabbc02b7d74ebff45b8b9d25f51aff,random_2002,instances/fbabbc02b7d74ebff45b8b9d25f51aff.cnf
3ed954a7de5112bb18b5c57d73e280c2,53,336,53,336,tseitin-formulas,bevan,unsat,3ed954a7de5112bb18b5c57d73e280c2,"anni_2022,handmade_2003",instances/3ed954a7de5112bb18b5c57d73e280c2.cnf
033d611722714d5206cc0184479e92e2,53,432,53,432,tseitin-formulas,bevan,unsat,033d611722714d5206cc0184479e92e2,"anni_2022,handmade_2003",instances/033d611722714d5206cc0184479e92e2.cnf
0928111a3d5d5ce05dffb83cb5982eba,54,58,54,58,cover,gacek,unsat,0928111a3d5d5ce05dffb83cb5982eba,"anni_2022,main_2020",instances/0928111a3d5d5ce05dffb83cb5982eba.cnf
affc020c04747decff98d4cc547f5931,54,170,54,170,battleship,skvortsov,sat,affc020c04747decff98d4cc547f5931,"crafted_2011,crafted_2012,portfolio_2012",instances/affc020c04747decff98d4cc547f5931.cnf
04c045b6ea95a35e248f3c5fa17e4c56,54,688,54,688,tseitin-formulas,unknown,unknown,04c045b6ea95a35e248f3c5fa17e4c56,"handmade_2003,handmade_2004",instances/04c045b6ea95a35e248f3c5fa17e4c56.cnf
833c0c0cd07db3a7423dc73f0d2378d2,54,688,54,688,tseitin-formulas,simon,unsat,833c0c0cd07db3a7423dc73f0d2378d2,"anni_2022,handmade_2002",instances/833c0c0cd07db3a7423dc73f0d2378d2.cnf
a03161dfe27323ee20614f27d8a803db,57,124,57,124,sgen,spence,unsat,a03161dfe27323ee20614f27d8a803db,"anni_2022,crafted_2007,crafted_2012",instances/a03161dfe27323ee20614f27d8a803db.cnf
85b16bb91702e4fc03bce7dd02bc9c48,58,476,58,476,tseitin-formulas,bevan,unsat,85b16bb91702e4fc03bce7dd02bc9c48,"anni_2022,handmade_2003",instances/85b16bb91702e4fc03bce7dd02bc9c48.cnf
41e1fb78bb132e71edcf26ea2e9a068e,60,160,60,160,tseitin-formulas,chu-min-li,unsat,41e1fb78bb132e71edcf26ea2e9a068e,"anni_2022,handmade_2002",instances/41e1fb78bb132e71edcf26ea2e9a068e.cnf
04b4dfec9afb6529764a94d1cea16abb,60,167,60,167,unknown,biere,unsat,04b4dfec9afb6529764a94d1cea16abb,industrial_2002,instances/04b4dfec9afb6529764a94d1cea16abb.cnf
c132cafd8ed646965f6786c423623840,60,936,60,936,random,pehoushek,unsat,c132cafd8ed646965f6786c423623840,"anni_2022,crafted_2011,random_2002",instances/c132cafd8ed646965f6786c423623840.cnf
34f04c5f664fbe9cc85b3cfb3a47a7ba,60,960,60,960,random,pehoushek,sat,34f04c5f664fbe9cc85b3cfb3a47a7ba,random_2002,instances/34f04c5f664fbe9cc85b3cfb3a47a7ba.cnf
448d8ea47bcbb93c53f0d47f9a0f1535,61,132,61,132,sgen,spence,unsat,448d8ea47bcbb93c53f0d47f9a0f1535,"anni_2022,crafted_2007",instances/448d8ea47bcbb93c53f0d47f9a0f1535.cnf
a73dfc45bae3b9d48bf8d26b8a3ab761,61,132,61,132,sgen,spence,unsat,a73dfc45bae3b9d48bf8d26b8a3ab761,"crafted_2009,crafted_2012,portfolio_2012",instances/a73dfc45bae3b9d48bf8d26b8a3ab761.cnf
095e78b37897df838f5137b24aa59ed6,61,280,61,280,tseitin-formulas,bevan,unsat,095e78b37897df838f5137b24aa59ed6,"anni_2022,handmade_2003",instances/095e78b37897df838f5137b24aa59ed6.cnf
c6e47b17688a41c70bb3d4f0222cb25c,62,396,62,396,tseitin-formulas,bevan,unsat,c6e47b17688a41c70bb3d4f0222cb25c,"anni_2022,handmade_2003",instances/c6e47b17688a41c70bb3d4f0222cb25c.cnf
2adbad9623c714a6f33c3405b8ab3c77,64,288,64,288,tseitin-formulas,bevan,unsat,2adbad9623c714a6f33c3405b8ab3c77,"anni_2022,handmade_2003",instances/2adbad9623c714a6f33c3405b8ab3c77.cnf
c7260e595b52c0b9323e5c8f399ac39f,64,298,64,298,genurq,ostrowski,sat,c7260e595b52c0b9323e5c8f399ac39f,"anni_2022,handmade_2003",instances/c7260e595b52c0b9323e5c8f399ac39f.cnf
f1854612bb1e00dc63056e28a428e0e2,64,528,64,528,tseitin-formulas,bevan,unsat,f1854612bb1e00dc63056e28a428e0e2,"anni_2022,handmade_2003",instances/f1854612bb1e00dc63056e28a428e0e2.cnf
35d3272e49849f3913b61365e411d770,65,140,65,140,sgen,spence,unsat,35d3272e49849f3913b61365e411d770,"anni_2022,crafted_2012",instances/35d3272e49849f3913b61365e411d770.cnf
52dc49596ea430cf93797da8b4bfff0b,65,140,65,140,sgen,spence,unsat,52dc49596ea430cf93797da8b4bfff0b,"crafted_2007,crafted_2012,portfolio_2012",instances/52dc49596ea430cf93797da8b4bfff0b.cnf
ec69ec227f79838c6b920584ce60dabe,69,148,69,148,sgen,spence,unsat,ec69ec227f79838c6b920584ce60dabe,"anni_2022,crafted_2007,crafted_2012",instances/ec69ec227f79838c6b920584ce60dabe.cnf
34038db20edb478e85b3bc6fce2e5c86,69,752,69,752,tseitin-formulas,bevan,unsat,34038db20edb478e85b3bc6fce2e5c86,"anni_2022,handmade_2003",instances/34038db20edb478e85b3bc6fce2e5c86.cnf
374a4ad84d28ffe2543dfdb028719de8,70,186,70,186,xor-chain,zhang-lintao,unsat,374a4ad84d28ffe2543dfdb028719de8,"anni_2022,handmade_2002",instances/374a4ad84d28ffe2543dfdb028719de8.cnf
87078e29f06cb461491342524817903c,70,186,70,186,xor-chain,zhang-lintao,unsat,87078e29f06cb461491342524817903c,handmade_2002,instances/87078e29f06cb461491342524817903c.cnf
76951f9f14004331d8c6f80e1c56bfd9,70,594,70,594,tseitin-formulas,simon,unsat,76951f9f14004331d8c6f80e1c56bfd9,"anni_2022,handmade_2002",instances/76951f9f14004331d8c6f80e1c56bfd9.cnf
9f33463b10b32b5318ffdf30508ea0d0,70,594,70,594,tseitin-formulas,chu-min-li,unknown,9f33463b10b32b5318ffdf30508ea0d0,"handmade_2003,handmade_2004",instances/9f33463b10b32b5318ffdf30508ea0d0.cnf
f46f3e7593e5bd3d74673a55af691812,72,168,72,168,coloring,vangelder,unsat,f46f3e7593e5bd3d74673a55af691812,"anni_2022,handmade_2002",instances/f46f3e7593e5bd3d74673a55af691812.cnf
8561abec7ab02c2dbe055425b8007849,72,532,72,532,tseitin-formulas,simon,unsat,8561abec7ab02c2dbe055425b8007849,"anni_2022,handmade_2002",instances/8561abec7ab02c2dbe055425b8007849.cnf
e22aa248ad2740d9e7626ee2253a81c6,72,532,72,532,tseitin-formulas,chu-min-li,unknown,e22aa248ad2740d9e7626ee2253a81c6,"handmade_2003,handmade_2004",instances/e22aa248ad2740d9e7626ee2253a81c6.cnf
1fdc28d676358b7e66bdf072dbbdba0b,73,156,73,156,sgen,spence,unsat,1fdc28d676358b7e66bdf072dbbdba0b,"anni_2022,crafted_2009,crafted_2012",instances/1fdc28d676358b7e66bdf072dbbdba0b.cnf
b9b48cd71e1aa810905c272c9eb8e175,73,156,73,156,sgen,spence,unsat,b9b48cd71e1aa810905c272c9eb8e175,crafted_2007,instances/b9b48cd71e1aa810905c272c9eb8e175.cnf
aa39c6d885d283a085d033ab7b89f8c8,74,694,74,694,tseitin-formulas,simon,unsat,aa39c6d885d283a085d033ab7b89f8c8,"anni_2022,crafted_2012,main_2024",instances/aa39c6d885d283a085d033ab7b89f8c8.cnf
