2026-07-18T20:00:37+00:00 original3_mprefix supervisor launch attempt 1
original3_mprefix: 8500/100000 best=0.249507s at eval 1050 elapsed=1137.4s
original3_mprefix: 8600/100000 best=0.383517s at eval 8589 elapsed=1163.4s
original3_mprefix: 8700/100000 best=0.383517s at eval 8589 elapsed=1174.7s
original3_mprefix: 8800/100000 best=0.383517s at eval 8589 elapsed=1192.2s
original3_mprefix: 8900/100000 best=0.383517s at eval 8589 elapsed=1208.1s
original3_mprefix: 9000/100000 best=0.383517s at eval 8589 elapsed=1219.9s
original3_mprefix: 9100/100000 best=0.383517s at eval 8589 elapsed=1241.0s
original3_mprefix: 9200/100000 best=0.383517s at eval 8589 elapsed=1249.5s
original3_mprefix: 9300/100000 best=0.383517s at eval 8589 elapsed=1260.2s
original3_mprefix: 9400/100000 best=0.383517s at eval 8589 elapsed=1274.1s
original3_mprefix: 9500/100000 best=0.383517s at eval 8589 elapsed=1287.6s
original3_mprefix: 9600/100000 best=0.383517s at eval 8589 elapsed=1310.0s
original3_mprefix: 9700/100000 best=0.383517s at eval 8589 elapsed=1320.2s
original3_mprefix: 9800/100000 best=0.383517s at eval 8589 elapsed=1332.6s
original3_mprefix: 9900/100000 best=0.383517s at eval 8589 elapsed=1343.7s
original3_mprefix: 10000/100000 best=0.383517s at eval 8589 elapsed=1362.1s
original3_mprefix: 10100/100000 best=0.383517s at eval 8589 elapsed=1374.2s
original3_mprefix: 10200/100000 best=0.383517s at eval 8589 elapsed=1386.4s
original3_mprefix: 10300/100000 best=0.383517s at eval 8589 elapsed=1400.1s
original3_mprefix: 10400/100000 best=0.383517s at eval 8589 elapsed=1413.5s
original3_mprefix: 10500/100000 best=0.383517s at eval 8589 elapsed=1423.9s
original3_mprefix: 10600/100000 best=0.383517s at eval 8589 elapsed=1440.3s
original3_mprefix: 10700/100000 best=0.383517s at eval 8589 elapsed=1447.5s
original3_mprefix: 10800/100000 best=0.383517s at eval 8589 elapsed=1459.7s
original3_mprefix: 10900/100000 best=0.383517s at eval 8589 elapsed=1476.7s
original3_mprefix: 11000/100000 best=0.383517s at eval 8589 elapsed=1493.5s
original3_mprefix: 11100/100000 best=0.383517s at eval 8589 elapsed=1504.5s
original3_mprefix: 11200/100000 best=0.383517s at eval 8589 elapsed=1519.2s
original3_mprefix: 11300/100000 best=0.392297s at eval 11252 elapsed=1551.8s
original3_mprefix: 11400/100000 best=0.392297s at eval 11252 elapsed=1565.4s
original3_mprefix: 11500/100000 best=0.392297s at eval 11252 elapsed=1577.5s
original3_mprefix: 11600/100000 best=0.392297s at eval 11252 elapsed=1588.3s
original3_mprefix: 11700/100000 best=0.392297s at eval 11252 elapsed=1597.7s
original3_mprefix: 11800/100000 best=0.392297s at eval 11252 elapsed=1608.2s
original3_mprefix: 11900/100000 best=0.392297s at eval 11252 elapsed=1618.2s
original3_mprefix: 12000/100000 best=0.392297s at eval 11252 elapsed=1627.1s
original3_mprefix: 12100/100000 best=0.392297s at eval 11252 elapsed=1638.3s
original3_mprefix: 12200/100000 best=0.392297s at eval 11252 elapsed=1650.3s
original3_mprefix: 12300/100000 best=0.392297s at eval 11252 elapsed=1661.9s
original3_mprefix: 12400/100000 best=0.392297s at eval 11252 elapsed=1678.0s
original3_mprefix: 12500/100000 best=0.392297s at eval 11252 elapsed=1689.9s
original3_mprefix: 12600/100000 best=0.392297s at eval 11252 elapsed=1701.9s
original3_mprefix: 12700/100000 best=0.392297s at eval 11252 elapsed=1719.7s
original3_mprefix: 12800/100000 best=0.392297s at eval 11252 elapsed=1730.0s
original3_mprefix: 12900/100000 best=0.392297s at eval 11252 elapsed=1742.9s
original3_mprefix: 13000/100000 best=0.392297s at eval 11252 elapsed=1765.3s
original3_mprefix: 13100/100000 best=0.392297s at eval 11252 elapsed=1774.5s
original3_mprefix: 13200/100000 best=0.392297s at eval 11252 elapsed=1788.6s
original3_mprefix: 13300/100000 best=0.392297s at eval 11252 elapsed=1805.5s
original3_mprefix: 13400/100000 best=0.392297s at eval 11252 elapsed=1818.5s
original3_mprefix: 13500/100000 best=0.392297s at eval 11252 elapsed=1831.6s
original3_mprefix: 13600/100000 best=0.392297s at eval 11252 elapsed=1841.6s
original3_mprefix: 13700/100000 best=0.392297s at eval 11252 elapsed=1852.9s
original3_mprefix: 13800/100000 best=0.392297s at eval 11252 elapsed=1865.5s
original3_mprefix: 13900/100000 best=0.392297s at eval 11252 elapsed=1879.3s
original3_mprefix: 14000/100000 best=0.392297s at eval 11252 elapsed=1894.4s
original3_mprefix: 14100/100000 best=0.392297s at eval 11252 elapsed=1905.5s
original3_mprefix: 14200/100000 best=0.392297s at eval 11252 elapsed=1918.1s
original3_mprefix: 14300/100000 best=0.392297s at eval 11252 elapsed=1930.0s
original3_mprefix: 14400/100000 best=0.392297s at eval 11252 elapsed=1944.9s
original3_mprefix: 14500/100000 best=0.392297s at eval 11252 elapsed=1968.6s
original3_mprefix: 14600/100000 best=0.392297s at eval 11252 elapsed=1978.3s
original3_mprefix: 14700/100000 best=0.392297s at eval 11252 elapsed=1991.5s
original3_mprefix: 14800/100000 best=0.392297s at eval 11252 elapsed=2003.6s
original3_mprefix: 14900/100000 best=0.392297s at eval 11252 elapsed=2013.0s
original3_mprefix: 15000/100000 best=0.392297s at eval 11252 elapsed=2031.2s
original3_mprefix: 15100/100000 best=0.392297s at eval 11252 elapsed=2040.0s
original3_mprefix: 15200/100000 best=0.392297s at eval 11252 elapsed=2058.5s
original3_mprefix: 15300/100000 best=0.392297s at eval 11252 elapsed=2076.2s
original3_mprefix: 15400/100000 best=0.392297s at eval 11252 elapsed=2092.5s
original3_mprefix: 15500/100000 best=0.392297s at eval 11252 elapsed=2101.6s
original3_mprefix: 15600/100000 best=0.392297s at eval 11252 elapsed=2114.8s
original3_mprefix: 15700/100000 best=0.392297s at eval 11252 elapsed=2128.2s
original3_mprefix: 15800/100000 best=0.392297s at eval 11252 elapsed=2143.6s
original3_mprefix: 15900/100000 best=0.392297s at eval 11252 elapsed=2161.4s
original3_mprefix: 16000/100000 best=0.392297s at eval 11252 elapsed=2175.3s
original3_mprefix: 16100/100000 best=0.392297s at eval 11252 elapsed=2187.0s
original3_mprefix: 16200/100000 best=0.392297s at eval 11252 elapsed=2204.6s
original3_mprefix: 16300/100000 best=0.392297s at eval 11252 elapsed=2227.2s
original3_mprefix: 16400/100000 best=0.392297s at eval 11252 elapsed=2241.2s
original3_mprefix: 16500/100000 best=0.392297s at eval 11252 elapsed=2253.7s
original3_mprefix: 16600/100000 best=0.392297s at eval 11252 elapsed=2265.8s
original3_mprefix: 16700/100000 best=0.392297s at eval 11252 elapsed=2278.4s
original3_mprefix: 16800/100000 best=0.392297s at eval 11252 elapsed=2293.4s
original3_mprefix: 16900/100000 best=0.392297s at eval 11252 elapsed=2305.2s
original3_mprefix: 17000/100000 best=0.392297s at eval 11252 elapsed=2316.0s
original3_mprefix: 17100/100000 best=0.392297s at eval 11252 elapsed=2325.3s
original3_mprefix: 17200/100000 best=0.392297s at eval 11252 elapsed=2334.9s
original3_mprefix: 17300/100000 best=0.392297s at eval 11252 elapsed=2349.8s
original3_mprefix: 17400/100000 best=0.392297s at eval 11252 elapsed=2365.7s
original3_mprefix: 17500/100000 best=0.392297s at eval 11252 elapsed=2379.0s
original3_mprefix: 17600/100000 best=0.392297s at eval 11252 elapsed=2389.7s
original3_mprefix: 17700/100000 best=0.392297s at eval 11252 elapsed=2407.7s
original3_mprefix: 17800/100000 best=0.392297s at eval 11252 elapsed=2422.1s
original3_mprefix: 17900/100000 best=0.392297s at eval 11252 elapsed=2439.2s
original3_mprefix: 18000/100000 best=0.392297s at eval 11252 elapsed=2455.1s
original3_mprefix: 18100/100000 best=0.392297s at eval 11252 elapsed=2464.1s
original3_mprefix: 18200/100000 best=0.392297s at eval 11252 elapsed=2471.0s
original3_mprefix: 18300/100000 best=0.392297s at eval 11252 elapsed=2488.6s
original3_mprefix: 18400/100000 best=0.392297s at eval 11252 elapsed=2495.0s
original3_mprefix: 18500/100000 best=0.392297s at eval 11252 elapsed=2513.8s
original3_mprefix: 18600/100000 best=0.392297s at eval 11252 elapsed=2533.0s
original3_mprefix: 18700/100000 best=0.392297s at eval 11252 elapsed=2542.0s
original3_mprefix: 18800/100000 best=0.392297s at eval 11252 elapsed=2554.9s
original3_mprefix: 18900/100000 best=0.392297s at eval 11252 elapsed=2570.9s
original3_mprefix: 19000/100000 best=0.392297s at eval 11252 elapsed=2580.6s
original3_mprefix: 19100/100000 best=0.392297s at eval 11252 elapsed=2598.3s
original3_mprefix: 19200/100000 best=0.392297s at eval 11252 elapsed=2608.4s
original3_mprefix: 19300/100000 best=0.392297s at eval 11252 elapsed=2622.6s
original3_mprefix: 19400/100000 best=0.392297s at eval 11252 elapsed=2633.8s
original3_mprefix: 19500/100000 best=0.392297s at eval 11252 elapsed=2647.8s
original3_mprefix: 19600/100000 best=0.392297s at eval 11252 elapsed=2657.3s
original3_mprefix: 19700/100000 best=0.392297s at eval 11252 elapsed=2675.1s
original3_mprefix: 19800/100000 best=0.392297s at eval 11252 elapsed=2693.3s
original3_mprefix: 19900/100000 best=0.392297s at eval 11252 elapsed=2703.2s
original3_mprefix: 20000/100000 best=0.392297s at eval 11252 elapsed=2712.9s
original3_mprefix: 20100/100000 best=0.392297s at eval 11252 elapsed=2726.9s
original3_mprefix: 20200/100000 best=0.392297s at eval 11252 elapsed=2741.4s
original3_mprefix: 20300/100000 best=0.392297s at eval 11252 elapsed=2754.4s
original3_mprefix: 20400/100000 best=0.392297s at eval 11252 elapsed=2771.6s
original3_mprefix: 20500/100000 best=0.392297s at eval 11252 elapsed=2786.9s
original3_mprefix: 20600/100000 best=0.392297s at eval 11252 elapsed=2798.7s
original3_mprefix: 20700/100000 best=0.392297s at eval 11252 elapsed=2808.8s
original3_mprefix: 20800/100000 best=0.392297s at eval 11252 elapsed=2820.8s
original3_mprefix: 20900/100000 best=0.392297s at eval 11252 elapsed=2830.3s
original3_mprefix: 21000/100000 best=0.392297s at eval 11252 elapsed=2855.2s
original3_mprefix: 21100/100000 best=0.392297s at eval 11252 elapsed=2869.5s
original3_mprefix: 21200/100000 best=0.392297s at eval 11252 elapsed=2882.1s
original3_mprefix: 21300/100000 best=0.392297s at eval 11252 elapsed=2897.0s
original3_mprefix: 21400/100000 best=0.392297s at eval 11252 elapsed=2908.5s
original3_mprefix: 21500/100000 best=0.392297s at eval 11252 elapsed=2927.3s
original3_mprefix: 21600/100000 best=0.392297s at eval 11252 elapsed=2935.9s
original3_mprefix: 21700/100000 best=0.392297s at eval 11252 elapsed=2947.6s
original3_mprefix: 21800/100000 best=0.392297s at eval 11252 elapsed=2960.2s
original3_mprefix: 21900/100000 best=0.392297s at eval 11252 elapsed=2979.5s
original3_mprefix: 22000/100000 best=0.392297s at eval 11252 elapsed=2993.3s
original3_mprefix: 22100/100000 best=0.392297s at eval 11252 elapsed=3006.4s
original3_mprefix: 22200/100000 best=0.392297s at eval 11252 elapsed=3024.3s
original3_mprefix: 22300/100000 best=0.392297s at eval 11252 elapsed=3037.3s
original3_mprefix: 22400/100000 best=0.392297s at eval 11252 elapsed=3054.5s
original3_mprefix: 22500/100000 best=0.392297s at eval 11252 elapsed=3071.7s
original3_mprefix: 22600/100000 best=0.392297s at eval 11252 elapsed=3087.5s
original3_mprefix: 22700/100000 best=0.392297s at eval 11252 elapsed=3096.5s
original3_mprefix: 22800/100000 best=0.392297s at eval 11252 elapsed=3116.6s
original3_mprefix: 22900/100000 best=0.392297s at eval 11252 elapsed=3138.6s
original3_mprefix: 23000/100000 best=0.392297s at eval 11252 elapsed=3148.8s
original3_mprefix: 23100/100000 best=0.392297s at eval 11252 elapsed=3164.2s
original3_mprefix: 23200/100000 best=0.392297s at eval 11252 elapsed=3176.3s
original3_mprefix: 23300/100000 best=0.392297s at eval 11252 elapsed=3197.2s
original3_mprefix: 23400/100000 best=0.392297s at eval 11252 elapsed=3215.5s
original3_mprefix: 23500/100000 best=0.392297s at eval 11252 elapsed=3238.4s
original3_mprefix: 23600/100000 best=0.392297s at eval 11252 elapsed=3257.4s
original3_mprefix: 23700/100000 best=0.392297s at eval 11252 elapsed=3273.4s
original3_mprefix: 23800/100000 best=0.392297s at eval 11252 elapsed=3284.7s
original3_mprefix: 23900/100000 best=0.392297s at eval 11252 elapsed=3301.5s
original3_mprefix: 24000/100000 best=0.392297s at eval 11252 elapsed=3309.8s
original3_mprefix: 24100/100000 best=0.392297s at eval 11252 elapsed=3323.7s
original3_mprefix: 24200/100000 best=0.392297s at eval 11252 elapsed=3335.4s
original3_mprefix: 24300/100000 best=0.392297s at eval 11252 elapsed=3354.4s
original3_mprefix: 24400/100000 best=0.392297s at eval 11252 elapsed=3361.7s
original3_mprefix: 24500/100000 best=0.392297s at eval 11252 elapsed=3383.4s
original3_mprefix: 24600/100000 best=0.392297s at eval 11252 elapsed=3411.6s
original3_mprefix: 24700/100000 best=0.392297s at eval 11252 elapsed=3428.0s
original3_mprefix: 24800/100000 best=0.392297s at eval 11252 elapsed=3437.9s
original3_mprefix: 24900/100000 best=0.392297s at eval 11252 elapsed=3450.5s
original3_mprefix: 25000/100000 best=0.392297s at eval 11252 elapsed=3462.5s
original3_mprefix: 25100/100000 best=0.392297s at eval 11252 elapsed=3478.1s
original3_mprefix: 25200/100000 best=0.392297s at eval 11252 elapsed=3490.5s
original3_mprefix: 25300/100000 best=0.392297s at eval 11252 elapsed=3511.4s
original3_mprefix: 25400/100000 best=0.392297s at eval 11252 elapsed=3526.3s
original3_mprefix: 25500/100000 best=0.392297s at eval 11252 elapsed=3539.4s
original3_mprefix: 25600/100000 best=0.392297s at eval 11252 elapsed=3547.8s
original3_mprefix: 25700/100000 best=0.392297s at eval 11252 elapsed=3560.6s
original3_mprefix: 25800/100000 best=0.392297s at eval 11252 elapsed=3572.8s
original3_mprefix: 25900/100000 best=0.392297s at eval 11252 elapsed=3589.4s
original3_mprefix: 26000/100000 best=0.392297s at eval 11252 elapsed=3603.1s
original3_mprefix: 26100/100000 best=0.392297s at eval 11252 elapsed=3622.0s
original3_mprefix: 26200/100000 best=0.392297s at eval 11252 elapsed=3634.6s
original3_mprefix: 26300/100000 best=0.392297s at eval 11252 elapsed=3653.3s
original3_mprefix: 26400/100000 best=0.392297s at eval 11252 elapsed=3670.4s
original3_mprefix: 26500/100000 best=0.392297s at eval 11252 elapsed=3681.2s
original3_mprefix: 26600/100000 best=0.392297s at eval 11252 elapsed=3705.6s
original3_mprefix: 26700/100000 best=0.392297s at eval 11252 elapsed=3718.5s
original3_mprefix: 26800/100000 best=0.392297s at eval 11252 elapsed=3738.4s
original3_mprefix: 26900/100000 best=0.392297s at eval 11252 elapsed=3753.0s
original3_mprefix: 27000/100000 best=0.392297s at eval 11252 elapsed=3770.5s
original3_mprefix: 27100/100000 best=0.392297s at eval 11252 elapsed=3791.9s
original3_mprefix: 27200/100000 best=0.392297s at eval 11252 elapsed=3808.0s
original3_mprefix: 27300/100000 best=0.392297s at eval 11252 elapsed=3825.8s
original3_mprefix: 27400/100000 best=0.392297s at eval 11252 elapsed=3842.1s
original3_mprefix: 27500/100000 best=0.392297s at eval 11252 elapsed=3853.9s
original3_mprefix: 27600/100000 best=0.392297s at eval 11252 elapsed=3869.3s
original3_mprefix: 27700/100000 best=0.392297s at eval 11252 elapsed=3880.2s
original3_mprefix: 27800/100000 best=0.392297s at eval 11252 elapsed=3891.3s
original3_mprefix: 27900/100000 best=0.392297s at eval 11252 elapsed=3906.8s
original3_mprefix: 28000/100000 best=0.392297s at eval 11252 elapsed=3918.8s
original3_mprefix: 28100/100000 best=0.392297s at eval 11252 elapsed=3931.0s
original3_mprefix: 28200/100000 best=0.392297s at eval 11252 elapsed=3953.5s
original3_mprefix: 28300/100000 best=0.392297s at eval 11252 elapsed=3960.9s
original3_mprefix: 28400/100000 best=0.392297s at eval 11252 elapsed=3976.0s
original3_mprefix: 28500/100000 best=0.392297s at eval 11252 elapsed=3998.1s
original3_mprefix: 28600/100000 best=0.392297s at eval 11252 elapsed=4021.8s
original3_mprefix: 28700/100000 best=0.392297s at eval 11252 elapsed=4044.9s
original3_mprefix: 28800/100000 best=0.392297s at eval 11252 elapsed=4060.6s
original3_mprefix: 28900/100000 best=0.392297s at eval 11252 elapsed=4068.7s
original3_mprefix: 29000/100000 best=0.392297s at eval 11252 elapsed=4077.6s
original3_mprefix: 29100/100000 best=0.392297s at eval 11252 elapsed=4093.5s
original3_mprefix: 29200/100000 best=0.392297s at eval 11252 elapsed=4103.4s
original3_mprefix: 29300/100000 best=0.392297s at eval 11252 elapsed=4117.3s
original3_mprefix: 29400/100000 best=0.392297s at eval 11252 elapsed=4137.3s
original3_mprefix: 29500/100000 best=0.392297s at eval 11252 elapsed=4153.0s
original3_mprefix: 29600/100000 best=0.392297s at eval 11252 elapsed=4176.8s
original3_mprefix: 29700/100000 best=0.392297s at eval 11252 elapsed=4187.2s
original3_mprefix: 29800/100000 best=0.392297s at eval 11252 elapsed=4208.3s
original3_mprefix: 29900/100000 best=0.392297s at eval 11252 elapsed=4219.5s
original3_mprefix: 30000/100000 best=0.392297s at eval 11252 elapsed=4227.3s
original3_mprefix: 30100/100000 best=0.392297s at eval 11252 elapsed=4249.8s
original3_mprefix: 30200/100000 best=0.392297s at eval 11252 elapsed=4264.1s
original3_mprefix: 30300/100000 best=0.392297s at eval 11252 elapsed=4283.9s
original3_mprefix: 30400/100000 best=0.392297s at eval 11252 elapsed=4302.8s
original3_mprefix: 30500/100000 best=0.392297s at eval 11252 elapsed=4315.3s
original3_mprefix: 30600/100000 best=0.392297s at eval 11252 elapsed=4321.5s
original3_mprefix: 30700/100000 best=0.392297s at eval 11252 elapsed=4330.5s
original3_mprefix: 30800/100000 best=0.392297s at eval 11252 elapsed=4346.0s
original3_mprefix: 30900/100000 best=0.392297s at eval 11252 elapsed=4358.1s
original3_mprefix: 31000/100000 best=0.392297s at eval 11252 elapsed=4374.4s
original3_mprefix: 31100/100000 best=0.392297s at eval 11252 elapsed=4392.6s
original3_mprefix: 31200/100000 best=0.392297s at eval 11252 elapsed=4411.0s
original3_mprefix: 31300/100000 best=0.392297s at eval 11252 elapsed=4423.8s
original3_mprefix: 31400/100000 best=0.392297s at eval 11252 elapsed=4434.5s
original3_mprefix: 31500/100000 best=0.392297s at eval 11252 elapsed=4451.7s
original3_mprefix: 31600/100000 best=0.392297s at eval 11252 elapsed=4459.7s
original3_mprefix: 31700/100000 best=0.392297s at eval 11252 elapsed=4467.8s
original3_mprefix: 31800/100000 best=0.392297s at eval 11252 elapsed=4481.5s
original3_mprefix: 31900/100000 best=0.392297s at eval 11252 elapsed=4494.0s
original3_mprefix: 32000/100000 best=0.392297s at eval 11252 elapsed=4508.4s
original3_mprefix: 32100/100000 best=0.392297s at eval 11252 elapsed=4523.6s
original3_mprefix: 32200/100000 best=0.392297s at eval 11252 elapsed=4533.7s
original3_mprefix: 32300/100000 best=0.392297s at eval 11252 elapsed=4549.7s
original3_mprefix: 32400/100000 best=0.392297s at eval 11252 elapsed=4567.0s
original3_mprefix: 32500/100000 best=0.392297s at eval 11252 elapsed=4589.8s
original3_mprefix: 32600/100000 best=0.392297s at eval 11252 elapsed=4602.7s
original3_mprefix: 32700/100000 best=0.392297s at eval 11252 elapsed=4614.0s
original3_mprefix: 32800/100000 best=0.392297s at eval 11252 elapsed=4626.2s
original3_mprefix: 32900/100000 best=0.392297s at eval 11252 elapsed=4644.6s
original3_mprefix: 33000/100000 best=0.392297s at eval 11252 elapsed=4655.6s
original3_mprefix: 33100/100000 best=0.392297s at eval 11252 elapsed=4667.2s
original3_mprefix: 33200/100000 best=0.392297s at eval 11252 elapsed=4680.5s
original3_mprefix: 33300/100000 best=0.392297s at eval 11252 elapsed=4694.8s
original3_mprefix: 33400/100000 best=0.392297s at eval 11252 elapsed=4701.0s
original3_mprefix: 33500/100000 best=0.392297s at eval 11252 elapsed=4718.4s
original3_mprefix: 33600/100000 best=0.392297s at eval 11252 elapsed=4728.6s
original3_mprefix: 33700/100000 best=0.392297s at eval 11252 elapsed=4749.4s
original3_mprefix: 33800/100000 best=0.392297s at eval 11252 elapsed=4766.8s
original3_mprefix: 33900/100000 best=0.392297s at eval 11252 elapsed=4781.6s
original3_mprefix: 34000/100000 best=0.392297s at eval 11252 elapsed=4793.9s
original3_mprefix: 34100/100000 best=0.392297s at eval 11252 elapsed=4806.1s
original3_mprefix: 34200/100000 best=0.392297s at eval 11252 elapsed=4818.8s
original3_mprefix: 34300/100000 best=0.392297s at eval 11252 elapsed=4829.3s
original3_mprefix: 34400/100000 best=0.392297s at eval 11252 elapsed=4842.9s
original3_mprefix: 34500/100000 best=0.392297s at eval 11252 elapsed=4852.0s
original3_mprefix: 34600/100000 best=0.392297s at eval 11252 elapsed=4878.8s
original3_mprefix: 34700/100000 best=0.392297s at eval 11252 elapsed=4890.5s
original3_mprefix: 34800/100000 best=0.392297s at eval 11252 elapsed=4909.5s
original3_mprefix: 34900/100000 best=0.392297s at eval 11252 elapsed=4925.8s
original3_mprefix: 35000/100000 best=0.392297s at eval 11252 elapsed=4945.8s
